"Producer Price Index item","Month of forecast","Year of forecast","Year being forecast","Attribute","Forecast percent change"
"Farm-level cattle",7,"2002","2003","Lower bound of prediction interval",-22.5
"Farm-level cattle",7,"2002","2003","Mid point of prediction interval",-4.1
"Farm-level cattle",7,"2002","2003","Upper bound of prediction interval",18.8
"Farm-level cattle",8,"2002","2003","Lower bound of prediction interval",-22.2
"Farm-level cattle",8,"2002","2003","Mid point of prediction interval",-4.5
"Farm-level cattle",8,"2002","2003","Upper bound of prediction interval",16.4
"Farm-level cattle",9,"2002","2003","Lower bound of prediction interval",-21.4
"Farm-level cattle",9,"2002","2003","Mid point of prediction interval",-4.9
"Farm-level cattle",9,"2002","2003","Upper bound of prediction interval",14.9
"Farm-level cattle",10,"2002","2003","Lower bound of prediction interval",-19.4
"Farm-level cattle",10,"2002","2003","Mid point of prediction interval",-3.7
"Farm-level cattle",10,"2002","2003","Upper bound of prediction interval",14.8
"Farm-level cattle",11,"2002","2003","Lower bound of prediction interval",-17.3
"Farm-level cattle",11,"2002","2003","Mid point of prediction interval",-2.6
"Farm-level cattle",11,"2002","2003","Upper bound of prediction interval",14.7
"Farm-level cattle",12,"2002","2003","Lower bound of prediction interval",-12.6
"Farm-level cattle",12,"2002","2003","Mid point of prediction interval",1.6
"Farm-level cattle",12,"2002","2003","Upper bound of prediction interval",18.2
"Farm-level cattle",1,"2003","2003","Lower bound of prediction interval",-10.9
"Farm-level cattle",1,"2003","2003","Mid point of prediction interval",4.5
"Farm-level cattle",1,"2003","2003","Upper bound of prediction interval",22.8
"Farm-level cattle",2,"2003","2003","Lower bound of prediction interval",-0.4
"Farm-level cattle",2,"2003","2003","Mid point of prediction interval",14.9
"Farm-level cattle",2,"2003","2003","Upper bound of prediction interval",33.8
"Farm-level cattle",3,"2003","2003","Lower bound of prediction interval",0.1
"Farm-level cattle",3,"2003","2003","Mid point of prediction interval",12.6
"Farm-level cattle",3,"2003","2003","Upper bound of prediction interval",28.2
"Farm-level cattle",4,"2003","2003","Lower bound of prediction interval",0.8
"Farm-level cattle",4,"2003","2003","Mid point of prediction interval",11.7
"Farm-level cattle",4,"2003","2003","Upper bound of prediction interval",24.6
"Farm-level cattle",5,"2003","2003","Lower bound of prediction interval",5.5
"Farm-level cattle",5,"2003","2003","Mid point of prediction interval",15.1
"Farm-level cattle",5,"2003","2003","Upper bound of prediction interval",26.5
"Farm-level cattle",6,"2003","2003","Lower bound of prediction interval",7.2
"Farm-level cattle",6,"2003","2003","Mid point of prediction interval",15.1
