Product volumes (million pounds)              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more or less detail, click the appropriate outline symbol, 1 or 2, to the left of the Column letter A above.  
To expand or collapse data, click the + or - outline symbols.",,,,,,Back to content page,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 6
Supply (million pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milk production (farm level),,,,,,"167,393","165,332","170,063","170,348","170,832","176,931","181,782","185,654","189,978","189,202","192,877","196,255","200,642","201,260","206,048","208,508","212,451","215,527","217,584","218,444","223,282","226,238","226,416","226,364"
,Imports of dairy ingredients used in U.S. dairy products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(total milk solids) 1,,,,,127,106,99,92,84,104,102,103,110,86,76,76,84,58,61,83,84,72,84,95,107,72,106,132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farm use ,,,,,,,"1,307","1,209","1,119","1,127","1,115","1,095","1,081","1,089","1,068","1,013",980,965,956,977,966,971,994,992,"1,017","1,022","1,079","1,031",994,989
,Fed to calves,,,,,,"1,109","1,036",959,959,958,949,943,952,944,901,873,867,858,877,874,880,900,901,928,933,993,947,914,908
,Consumed on farms,,,,,,198,173,160,168,157,146,138,137,124,112,107,98,98,100,92,91,94,91,89,89,86,84,80,81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production of dairy products ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cheese (other than cottage cheese),,,,,,"8,258","8,261","8,547","8,557","8,873","9,149","9,525","9,777","9,913","10,074","10,443","10,595","10,886","11,102","11,512","11,831","12,182","12,640","13,037","13,137","13,240","13,761","14,084","14,211"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,American type,,,,,"3,642","3,544","3,691","3,622","3,739","3,808","3,913","3,877","4,109","4,203","4,289","4,227","4,355","4,420","4,588","4,694","4,769","5,072","5,254","5,232","5,338","5,615","5,672","5,845"
,,,Cheddar,,,,"2,819","2,747","2,822","2,701","3,004","3,046","3,124","3,057","3,186","3,205","3,235","3,096","3,143","3,190","3,317","3,393","3,434","3,721","3,802","3,737","3,829","3,971","3,963","4,091"
,,,"Colby, Monterrey, and Jack",,,,823,797,869,921,734,762,789,821,922,997,"1,054","1,130","1,212","1,230","1,271","1,301","1,334","1,351","1,452","1,495","1,510","1,644","1,709","1,753"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Other than American type,,,,,"4,616","4,716","4,856","4,936","5,134","5,341","5,612","5,900","5,804","5,872","6,154","6,368","6,531","6,682","6,924","7,137","7,413","7,568","7,784","7,905","7,901","8,146","8,412","8,366"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Italian type,,,,"3,289","3,426","3,470","3,524","3,662","3,803","3,973","4,199","4,121","4,181","4,416","4,585","4,633","4,735","4,950","5,082","5,304","5,395","5,570","5,671","5,612","5,769","5,904","5,854"
,,,,Mozzarella,,,"2,635","2,768","2,783","2,807","2,917","3,019","3,144","3,330","3,223","3,268","3,479","3,574","3,615","3,700","3,925","3,989","4,118","4,167","4,366","4,495","4,444","4,497","4,651","4,606"
,,,,Parmesan,,,110,113,127,127,130,151,172,172,216,225,234,288,297,320,302,339,407,451,424,412,419,485,485,488
,,,,Provolone,,,248,251,261,283,296,305,320,328,337,347,355,351,356,360,361,379,402,394,398,384,366,378,369,376
,,,,Ricotta,,,245,235,236,235,244,237,244,267,243,246,261,260,248,241,245,243,252,246,247,245,253,250,246,248
,,,,Romano,,,28,30,33,36,32,34,44,55,52,47,34,45,48,45,45,55,52,58,58,55,54,68,57,50
,,,,Other Italian,,,24,28,30,36,41,56,48,47,49,49,53,67,69,70,72,76,73,79,76,81,76,90,95,86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Other than Italian or American type,,,,"1,327","1,291","1,386","1,412","1,473","1,538","1,639","1,701","1,683","1,691","1,738","1,783","1,898","1,946","1,974","2,055","2,108","2,173","2,214","2,235","2,289","2,377","2,508","2,512"
