"Table","Year","Data_item","Region","State","Value","Units"
"Milk cows",1970,"Milk cows, average inventory","Northeast","Connecticut",59,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Northeast","Delaware",13.5,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Northeast","Maine",62,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Northeast","Maryland",152,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Northeast","Massachusetts",60,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Northeast","New Hampshire",36,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Northeast","New Jersey",68,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Northeast","New York",950,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Northeast","Pennsylvania",705,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Northeast","Rhode Island",6.9,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Northeast","Vermont",194,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Northeast","Total region",2306.4,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Lake States","Michigan",433,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Lake States","Minnesota",949,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Lake States","Wisconsin",1814,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Lake States","Total region",3196,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Corn Belt","Illinois",297,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Corn Belt","Indiana",237,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Corn Belt","Iowa",497,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Corn Belt","Missouri",337,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Corn Belt","Ohio",446,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Corn Belt","Total region",1814,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Northern Plains","Kansas",188,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Northern Plains","Nebraska",174,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Northern Plains","North Dakota",137,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Northern Plains","South Dakota",183,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Northern Plains","Total region",682,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Appalachia","Kentucky",337,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Appalachia","North Carolina",170,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Appalachia","Tennessee",288,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Appalachia","Virginia",197,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Appalachia","West Virginia",52,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Appalachia","Total region",1044,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Southeast","Alabama",122,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Southeast","Florida",191,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Southeast","Georgia",146,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Southeast","South Carolina",64,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Southeast","Total region",523,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Delta States","Arkansas",97,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Delta States","Louisiana",164,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Delta States","Mississippi",179,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Delta States","Total region",440,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Southern Plains","Oklahoma",142,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Southern Plains","Texas",355,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Southern Plains","Total region",497,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Mountain Region","Arizona",50,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Mountain Region","Colorado",81,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Mountain Region","Idaho",144,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Mountain Region","Montana",39,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Mountain Region","Nevada",13.9,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Mountain Region","New Mexico",32,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Mountain Region","Utah",78,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Mountain Region","Wyoming",16.5,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Mountain Region","Total region",454.4,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","West Coast","California",755,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","West Coast","Oregon",97,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","West Coast","Washington",176,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","West Coast","Total region",1028,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Other States","Alaska",1.8,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Other States","Hawaii",12.9,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","Other States","Total region",14.700000000000001,"Thousand head"
"Milk cows",1970,"Milk cows, average inventory","United States","Total region",12000,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","Connecticut",58,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","Delaware",12.8,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","Maine",61,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","Maryland",148,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","Massachusetts",59,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","New Hampshire",35,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","New Jersey",63,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","New York",935,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","Pennsylvania",694,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","Rhode Island",6.3,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","Vermont",195,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","Total region",2267.1,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Lake States","Michigan",430,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Lake States","Minnesota",942,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Lake States","Wisconsin",1822,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Lake States","Total region",3194,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Corn Belt","Illinois",289,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Corn Belt","Indiana",236,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Corn Belt","Iowa",474,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Corn Belt","Missouri",329,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Corn Belt","Ohio",441,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Corn Belt","Total region",1769,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northern Plains","Kansas",177,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northern Plains","Nebraska",171,"Thousand head"
