"Year","Category","Data_item","Quantity","Units"
1975,"Fluid beverage milk","Fluid beverage milk",247,"Pounds per capita"
1976,"Fluid beverage milk","Fluid beverage milk",247,"Pounds per capita"
1977,"Fluid beverage milk","Fluid beverage milk",244,"Pounds per capita"
1978,"Fluid beverage milk","Fluid beverage milk",241,"Pounds per capita"
1979,"Fluid beverage milk","Fluid beverage milk",238,"Pounds per capita"
1980,"Fluid beverage milk","Fluid beverage milk",234,"Pounds per capita"
1981,"Fluid beverage milk","Fluid beverage milk",230,"Pounds per capita"
1982,"Fluid beverage milk","Fluid beverage milk",224,"Pounds per capita"
1983,"Fluid beverage milk","Fluid beverage milk",223,"Pounds per capita"
1984,"Fluid beverage milk","Fluid beverage milk",224,"Pounds per capita"
1985,"Fluid beverage milk","Fluid beverage milk",227,"Pounds per capita"
1986,"Fluid beverage milk","Fluid beverage milk",226,"Pounds per capita"
1987,"Fluid beverage milk","Fluid beverage milk",223,"Pounds per capita"
1988,"Fluid beverage milk","Fluid beverage milk",223,"Pounds per capita"
1989,"Fluid beverage milk","Fluid beverage milk",223,"Pounds per capita"
1990,"Fluid beverage milk","Fluid beverage milk",220,"Pounds per capita"
1991,"Fluid beverage milk","Fluid beverage milk",218,"Pounds per capita"
1992,"Fluid beverage milk","Fluid beverage milk",215,"Pounds per capita"
1993,"Fluid beverage milk","Fluid beverage milk",210,"Pounds per capita"
1994,"Fluid beverage milk","Fluid beverage milk",208,"Pounds per capita"
1995,"Fluid beverage milk","Fluid beverage milk",205,"Pounds per capita"
1996,"Fluid beverage milk","Fluid beverage milk",205,"Pounds per capita"
1997,"Fluid beverage milk","Fluid beverage milk",201,"Pounds per capita"
1998,"Fluid beverage milk","Fluid beverage milk",198,"Pounds per capita"
1999,"Fluid beverage milk","Fluid beverage milk",197,"Pounds per capita"
2000,"Fluid beverage milk","Fluid beverage milk",196,"Pounds per capita"
2001,"Fluid beverage milk","Fluid beverage milk",192,"Pounds per capita"
2002,"Fluid beverage milk","Fluid beverage milk",191,"Pounds per capita"
2003,"Fluid beverage milk","Fluid beverage milk",188,"Pounds per capita"
2004,"Fluid beverage milk","Fluid beverage milk",185,"Pounds per capita"
2005,"Fluid beverage milk","Fluid beverage milk",185,"Pounds per capita"
2006,"Fluid beverage milk","Fluid beverage milk",185,"Pounds per capita"
2007,"Fluid beverage milk","Fluid beverage milk",183,"Pounds per capita"
2008,"Fluid beverage milk","Fluid beverage milk",181,"Pounds per capita"
2009,"Fluid beverage milk","Fluid beverage milk",181,"Pounds per capita"
2010,"Fluid beverage milk","Fluid beverage milk",177,"Pounds per capita"
2011,"Fluid beverage milk","Fluid beverage milk",173,"Pounds per capita"
2012,"Fluid beverage milk","Fluid beverage milk",169,"Pounds per capita"
2013,"Fluid beverage milk","Fluid beverage milk",164,"Pounds per capita"
2014,"Fluid beverage milk","Fluid beverage milk",158,"Pounds per capita"
2015,"Fluid beverage milk","Fluid beverage milk",154,"Pounds per capita"
2016,"Fluid beverage milk","Fluid beverage milk",152,"Pounds per capita"
2017,"Fluid beverage milk","Fluid beverage milk",148,"Pounds per capita"
2018,"Fluid beverage milk","Fluid beverage milk",144,"Pounds per capita"
2019,"Fluid beverage milk","Fluid beverage milk",141,"Pounds per capita"
2020,"Fluid beverage milk","Fluid beverage milk",141,"Pounds per capita"
2021,"Fluid beverage milk","Fluid beverage milk",134,"Pounds per capita"
2022,"Fluid beverage milk","Fluid beverage milk",130,"Pounds per capita"
2023,"Fluid beverage milk","Fluid beverage milk",128,"Pounds per capita"
1975,"Cheese","American type",8.147,"Pounds per capita"
1976,"Cheese","American type",8.883,"Pounds per capita"
1977,"Cheese","American type",9.213,"Pounds per capita"
1978,"Cheese","American type",9.525,"Pounds per capita"
1979,"Cheese","American type",9.597,"Pounds per capita"
1980,"Cheese","American type",9.62,"Pounds per capita"
1981,"Cheese","American type",10.15,"Pounds per capita"
1982,"Cheese","American type",11.307,"Pounds per capita"
1983,"Cheese","American type",11.607,"Pounds per capita"
1984,"Cheese","American type",11.853,"Pounds per capita"
1985,"Cheese","American type",12.187,"Pounds per capita"
1986,"Cheese","American type",12.122,"Pounds per capita"
1987,"Cheese","American type",12.404,"Pounds per capita"
1988,"Cheese","American type",11.499,"Pounds per capita"
1989,"Cheese","American type",11.03,"Pounds per capita"
1990,"Cheese","American type",11.127,"Pounds per capita"
1991,"Cheese","American type",11.034,"Pounds per capita"
1992,"Cheese","American type",11.256,"Pounds per capita"
