"table_name","year_value","year_unit","year_start_month","month","variable","commodity_element","market_segment","geographic_extent","value","unit"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1980","Calendar year","January",NA,"Area bearing","Blackberries","All","Oregon","    3400.000000000000000000000000","acres"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1980","Calendar year","January",NA,"Yield","Blackberries","All","Oregon","    8470.000000000000000000000000","pounds per acre"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1980","Calendar year","January",NA,"Utilized production","Blackberries","All","Oregon","   28800.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1980","Calendar year","January",NA,"Utilized production","Blackberries","Fresh","Oregon","     400.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1980","Calendar year","January",NA,"Utilized production","Blackberries","Processed","Oregon","   28400.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1980","Calendar year","January",NA,"Price received by growers","Blackberries","Fresh","Oregon","      41.200000000000002842170943","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1980","Calendar year","January",NA,"Price received by growers","Blackberries","Processed","Oregon","      20.100000000000001421085472","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1980","Calendar year","January",NA,"Price received by growers","Blackberries","All","Oregon","      20.399999999999998578914528","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1980","Calendar year","January",NA,"Value of utilized production","Blackberries","All","Oregon","    5873.000000000000000000000000","thousand dollars"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1981","Calendar year","January",NA,"Area bearing","Blackberries","All","Oregon","    3000.000000000000000000000000","acres"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1981","Calendar year","January",NA,"Yield","Blackberries","All","Oregon","    6000.000000000000000000000000","pounds per acre"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1981","Calendar year","January",NA,"Utilized production","Blackberries","All","Oregon","   18000.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1981","Calendar year","January",NA,"Utilized production","Blackberries","Fresh","Oregon","     450.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1981","Calendar year","January",NA,"Utilized production","Blackberries","Processed","Oregon","   17550.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1981","Calendar year","January",NA,"Price received by growers","Blackberries","Fresh","Oregon","      30.500000000000000000000000","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1981","Calendar year","January",NA,"Price received by growers","Blackberries","Processed","Oregon","      17.199999999999999289457264","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1981","Calendar year","January",NA,"Price received by growers","Blackberries","All","Oregon","      17.500000000000000000000000","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1981","Calendar year","January",NA,"Value of utilized production","Blackberries","All","Oregon","    3150.000000000000000000000000","thousand dollars"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1982","Calendar year","January",NA,"Area bearing","Blackberries","All","Oregon","    3000.000000000000000000000000","acres"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1982","Calendar year","January",NA,"Yield","Blackberries","All","Oregon","    6830.000000000000000000000000","pounds per acre"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1982","Calendar year","January",NA,"Utilized production","Blackberries","All","Oregon","   18600.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1982","Calendar year","January",NA,"Utilized production","Blackberries","Fresh","Oregon","     900.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1982","Calendar year","January",NA,"Utilized production","Blackberries","Processed","Oregon","   17700.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1982","Calendar year","January",NA,"Price received by growers","Blackberries","Fresh","Oregon","      44.100000000000001421085472","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1982","Calendar year","January",NA,"Price received by growers","Blackberries","Processed","Oregon","      23.199999999999999289457264","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1982","Calendar year","January",NA,"Price received by growers","Blackberries","All","Oregon","      24.199999999999999289457264","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1982","Calendar year","January",NA,"Value of utilized production","Blackberries","All","Oregon","    4504.000000000000000000000000","thousand dollars"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1983","Calendar year","January",NA,"Area bearing","Blackberries","All","Oregon","    3000.000000000000000000000000","acres"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1983","Calendar year","January",NA,"Yield","Blackberries","All","Oregon","    7000.000000000000000000000000","pounds per acre"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1983","Calendar year","January",NA,"Utilized production","Blackberries","All","Oregon","   20250.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1983","Calendar year","January",NA,"Utilized production","Blackberries","Fresh","Oregon","     200.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1983","Calendar year","January",NA,"Utilized production","Blackberries","Processed","Oregon","   20050.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1983","Calendar year","January",NA,"Price received by growers","Blackberries","Fresh","Oregon","      54.200000000000002842170943","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1983","Calendar year","January",NA,"Price received by growers","Blackberries","Processed","Oregon","      29.100000000000001421085472","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1983","Calendar year","January",NA,"Price received by growers","Blackberries","All","Oregon","      29.300000000000000710542736","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1983","Calendar year","January",NA,"Value of utilized production","Blackberries","All","Oregon","    5943.000000000000000000000000","thousand dollars"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1984","Calendar year","January",NA,"Area bearing","Blackberries","All","Oregon","    3100.000000000000000000000000","acres"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1984","Calendar year","January",NA,"Yield","Blackberries","All","Oregon","    6190.000000000000000000000000","pounds per acre"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1984","Calendar year","January",NA,"Utilized production","Blackberries","All","Oregon","   19200.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1984","Calendar year","January",NA,"Utilized production","Blackberries","Fresh","Oregon","     400.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1984","Calendar year","January",NA,"Utilized production","Blackberries","Processed","Oregon","   18800.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1984","Calendar year","January",NA,"Price received by growers","Blackberries","Fresh","Oregon","      49.799999999999997157829057","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1984","Calendar year","January",NA,"Price received by growers","Blackberries","Processed","Oregon","      49.799999999999997157829057","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1984","Calendar year","January",NA,"Price received by growers","Blackberries","All","Oregon","      49.799999999999997157829057","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1984","Calendar year","January",NA,"Value of utilized production","Blackberries","All","Oregon","    9558.000000000000000000000000","thousand dollars"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1985","Calendar year","January",NA,"Area bearing","Blackberries","All","Oregon","    3400.000000000000000000000000","acres"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1985","Calendar year","January",NA,"Yield","Blackberries","All","Oregon","    7060.000000000000000000000000","pounds per acre"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1985","Calendar year","January",NA,"Utilized production","Blackberries","All","Oregon","   24000.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1985","Calendar year","January",NA,"Utilized production","Blackberries","Fresh","Oregon","     200.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1985","Calendar year","January",NA,"Utilized production","Blackberries","Processed","Oregon","   23800.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1985","Calendar year","January",NA,"Price received by growers","Blackberries","Fresh","Oregon","      60.500000000000000000000000","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1985","Calendar year","January",NA,"Price received by growers","Blackberries","Processed","Oregon","      57.799999999999997157829057","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1985","Calendar year","January",NA,"Price received by growers","Blackberries","All","Oregon","      57.799999999999997157829057","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1985","Calendar year","January",NA,"Value of utilized production","Blackberries","All","Oregon","   13873.000000000000000000000000","thousand dollars"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1986","Calendar year","January",NA,"Area bearing","Blackberries","All","Oregon","    3600.000000000000000000000000","acres"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1986","Calendar year","January",NA,"Yield","Blackberries","All","Oregon","    6390.000000000000000000000000","pounds per acre"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1986","Calendar year","January",NA,"Utilized production","Blackberries","All","Oregon","   23000.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1986","Calendar year","January",NA,"Utilized production","Blackberries","Fresh","Oregon","     200.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1986","Calendar year","January",NA,"Utilized production","Blackberries","Processed","Oregon","   22800.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1986","Calendar year","January",NA,"Price received by growers","Blackberries","Fresh","Oregon","      67.000000000000000000000000","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1986","Calendar year","January",NA,"Price received by growers","Blackberries","Processed","Oregon","      60.899999999999998578914528","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1986","Calendar year","January",NA,"Price received by growers","Blackberries","All","Oregon","      60.899999999999998578914528","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1986","Calendar year","January",NA,"Value of utilized production","Blackberries","All","Oregon","   14018.000000000000000000000000","thousand dollars"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1987","Calendar year","January",NA,"Area bearing","Blackberries","All","Oregon","    4900.000000000000000000000000","acres"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1987","Calendar year","January",NA,"Yield","Blackberries","All","Oregon","    7670.000000000000000000000000","pounds per acre"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1987","Calendar year","January",NA,"Utilized production","Blackberries","All","Oregon","   37600.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1987","Calendar year","January",NA,"Utilized production","Blackberries","Fresh","Oregon","     610.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1987","Calendar year","January",NA,"Utilized production","Blackberries","Processed","Oregon","   36990.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1987","Calendar year","January",NA,"Price received by growers","Blackberries","Fresh","Oregon","      60.700000000000002842170943","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1987","Calendar year","January",NA,"Price received by growers","Blackberries","Processed","Oregon","      27.699999999999999289457264","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1987","Calendar year","January",NA,"Price received by growers","Blackberries","All","Oregon","      28.300000000000000710542736","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1987","Calendar year","January",NA,"Value of utilized production","Blackberries","All","Oregon","   10629.000000000000000000000000","thousand dollars"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1988","Calendar year","January",NA,"Area bearing","Blackberries","All","Oregon","    4400.000000000000000000000000","acres"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1988","Calendar year","January",NA,"Yield","Blackberries","All","Oregon","    7720.000000000000000000000000","pounds per acre"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1988","Calendar year","January",NA,"Utilized production","Blackberries","All","Oregon","   33950.000000000000000000000000","thousand pounds"
