"table_name","year_value","year_unit","year_start_month","month","variable","commodity_element","market_segment","geographic_extent","value","unit"
"Table A-1--Fruit and tree nuts: Per capita availability, United States, 1976 to date","1976","Calendar year","January",NA,"Per capita availability","Apples","All","United States","      29.857280121879078649271833","pounds, farm weight"
"Table A-1--Fruit and tree nuts: Per capita availability, United States, 1976 to date","1976","Calendar year","January",NA,"Per capita availability","Apples","Fresh","United States","      17.081015973245612826758588","pounds, farm weight"
"Table A-1--Fruit and tree nuts: Per capita availability, United States, 1976 to date","1976","Calendar year","January",NA,"Per capita availability","Apples","Canned","United States","       4.260945722446037642328065","pounds, farm weight"
"Table A-1--Fruit and tree nuts: Per capita availability, United States, 1976 to date","1976","Calendar year","January",NA,"Per capita availability","Apples","Frozen","United States","       0.815467418563518120500078","pounds, farm weight"
"Table A-1--Fruit and tree nuts: Per capita availability, United States, 1976 to date","1976","Calendar year","January",NA,"Per capita availability","Apples","Juice","United States","       6.297482167543423159372651","pounds, farm weight"
"Table A-1--Fruit and tree nuts: Per capita availability, United States, 1976 to date","1976","Calendar year","January",NA,"Per capita availability","Apples","Dried","United States","       1.072045223310627237722770","pounds, farm weight"
"Table A-1--Fruit and tree nuts: Per capita availability, United States, 1976 to date","1976","Calendar year","January",NA,"Per capita availability","Apples","Other processed","United States","       0.330323616769854777608373","pounds, farm weight"
"Table A-1--Fruit and tree nuts: Per capita availability, United States, 1976 to date","1976","Calendar year","January",NA,"Per capita availability","Grapes","All","United States","      40.630204219221546679818857","pounds, farm weight"
"Table A-1--Fruit and tree nuts: Per capita availability, United States, 1976 to date","1976","Calendar year","January",NA,"Per capita availability","Grapes","Fresh","United States","       3.535922693323721777147739","pounds, farm weight"
"Table A-1--Fruit and tree nuts: Per capita availability, United States, 1976 to date","1976","Calendar year","January",NA,"Per capita availability","Grapes","Canned","United States","       0.437998165882680368099500","pounds, farm weight"
