"table_name","year_value","year_unit","year_start_month","month","variable","commodity_element","market_segment","geographic_extent","value","unit"
"Table E-1--Melons: Per capita availability, 1970 to date","1970","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      13.500000000000000000000000","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1970","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       7.200000000000000177635684","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1970","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       0.900000000000000022204460","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1970","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.000000000000000000000000","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1970","Calendar year","January",NA," Per capita availability","Melons","All","United States","      21.500000000000000000000000","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1971","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      13.039999999999999147348717","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1971","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       6.639999999999999680255769","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1971","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       0.930000000000000048849813","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1971","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.000000000000000000000000","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1971","Calendar year","January",NA," Per capita availability","Melons","All","United States","      20.679999999999999715782906","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1972","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      12.310000000000000497379915","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1972","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       6.769999999999999573674359","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1972","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.040000000000000035527137","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1972","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.000000000000000000000000","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1972","Calendar year","January",NA," Per capita availability","Melons","All","United States","      20.179999999999999715782906","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1973","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      12.740000000000000213162821","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1973","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       5.879999999999999893418590","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1973","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.110000000000000097699626","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1973","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.000000000000000000000000","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1973","Calendar year","January",NA," Per capita availability","Melons","All","United States","      19.809999999999998721023076","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1974","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      11.320000000000000284217094","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1974","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       5.139999999999999680255769","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1974","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.010000000000000008881784","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1974","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.000000000000000000000000","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1974","Calendar year","January",NA," Per capita availability","Melons","All","United States","      17.579999999999998294697434","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1975","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      11.439999999999999502620085","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1975","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       5.049999999999999822364316","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1975","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.060000000000000053290705","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1975","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.000000000000000000000000","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1975","Calendar year","January",NA," Per capita availability","Melons","All","United States","      17.609999999999999431565811","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1976","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      12.630000000000000781597009","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1976","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       5.049999999999999822364316","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1976","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.020000000000000017763568","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1976","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.070000000000000006661338","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1976","Calendar year","January",NA," Per capita availability","Melons","All","United States","      19.010000000000001563194019","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1977","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      12.619999999999999218402991","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1977","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       5.519999999999999573674359","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1977","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.129999999999999893418590","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1977","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.080000000000000001665335","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1977","Calendar year","January",NA," Per capita availability","Melons","All","United States","      19.609999999999999431565811","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1978","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      11.890000000000000568434189","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1978","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       6.580000000000000071054274","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1978","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.600000000000000088817842","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1978","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.110000000000000000555112","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1978","Calendar year","January",NA," Per capita availability","Melons","All","United States","      20.140000000000000568434189","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1979","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      11.400000000000000355271368","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1979","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       6.120000000000000106581410","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1979","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.590000000000000079936058","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1979","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.130000000000000004440892","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1979","Calendar year","January",NA," Per capita availability","Melons","All","United States","      19.230000000000000426325641","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1980","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      10.650000000000000355271368","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1980","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       5.849999999999999644728632","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1980","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.399999999999999911182158","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1980","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.080000000000000001665335","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1980","Calendar year","January",NA," Per capita availability","Melons","All","United States","      17.989999999999998436805981","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1981","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      11.650000000000000355271368","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1981","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       6.120000000000000106581410","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1981","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.500000000000000000000000","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1981","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.100000000000000005551115","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1981","Calendar year","January",NA," Per capita availability","Melons","All","United States","      19.410000000000000142108547","pounds, farm weight"
