"table_name","year_value","year_unit","year_start_month","month","variable","commodity_element","market_segment","geographic_extent","value","unit"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1980/81","Marketing year","August",NA,"Utilized production","Apples","Fresh","United States","    4934.100000000000363797880709","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1980/81","Marketing year","August",NA,"Imports","Apples","Fresh","United States","     177.199999999999988631316228","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1980/81","Marketing year","August",NA,"Supply","Apples","Fresh","United States","    5111.300000000000181898940355","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1980/81","Marketing year","August",NA,"Exports","Apples","Fresh","United States","     697.409999999999968167685438","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1980/81","Marketing year","August",NA,"Domestic availability","Apples","Fresh","United States","    4395.289999999999963620211929","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1980/81","Marketing year","August",NA,"Per capita availability","Apples","Fresh","United States","      19.279932907306378098155619","pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1981/82","Marketing year","August",NA,"Utilized production","Apples","Fresh","United States","    4442.199999999999818101059645","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1981/82","Marketing year","August",NA,"Imports","Apples","Fresh","United States","     149.699999999999988631316228","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1981/82","Marketing year","August",NA,"Supply","Apples","Fresh","United States","    4591.899999999999636202119291","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1981/82","Marketing year","August",NA,"Exports","Apples","Fresh","United States","     682.711999999999989086063579","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1981/82","Marketing year","August",NA,"Domestic availability","Apples","Fresh","United States","    3894.787999999999556166585535","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1981/82","Marketing year","August",NA,"Per capita availability","Apples","Fresh","United States","      16.911397881093801487395467","pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1982/83","Marketing year","August",NA,"Utilized production","Apples","Fresh","United States","    4536.699999999999818101059645","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1982/83","Marketing year","August",NA,"Imports","Apples","Fresh","United States","     197.500000000000000000000000","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1982/83","Marketing year","August",NA,"Supply","Apples","Fresh","United States","    4734.199999999999818101059645","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1982/83","Marketing year","August",NA,"Exports","Apples","Fresh","United States","     629.658000000000015461409930","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1982/83","Marketing year","August",NA,"Domestic availability","Apples","Fresh","United States","    4091.941999999999552528606728","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1982/83","Marketing year","August",NA,"Per capita availability","Apples","Fresh","United States","      17.591748742081755096933193","pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1983/84","Marketing year","August",NA,"Utilized production","Apples","Fresh","United States","    4620.500000000000000000000000","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1983/84","Marketing year","August",NA,"Imports","Apples","Fresh","United States","     233.500000000000000000000000","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1983/84","Marketing year","August",NA,"Supply","Apples","Fresh","United States","    4854.000000000000000000000000","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1983/84","Marketing year","August",NA,"Exports","Apples","Fresh","United States","     544.216000000000008185452316","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1983/84","Marketing year","August",NA,"Domestic availability","Apples","Fresh","United States","    4300.283999999999650754034519","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1983/84","Marketing year","August",NA,"Per capita availability","Apples","Fresh","United States","      18.309509951781123504588322","pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1984/85","Marketing year","August",NA,"Utilized production","Apples","Fresh","United States","    4654.600000000000363797880709","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1984/85","Marketing year","August",NA,"Imports","Apples","Fresh","United States","     241.900000000000005684341886","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1984/85","Marketing year","August",NA,"Supply","Apples","Fresh","United States","    4896.500000000000000000000000","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1984/85","Marketing year","August",NA,"Exports","Apples","Fresh","United States","     528.330000000000040927261580","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1984/85","Marketing year","August",NA,"Domestic availability","Apples","Fresh","United States","    4358.270000000000436557456851","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1984/85","Marketing year","August",NA,"Per capita availability","Apples","Fresh","United States","      18.394773190493037162696055","pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1985/86","Marketing year","August",NA,"Utilized production","Apples","Fresh","United States","    4221.699999999999818101059645","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1985/86","Marketing year","August",NA,"Imports","Apples","Fresh","United States","     314.600000000000022737367544","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1985/86","Marketing year","August",NA,"Supply","Apples","Fresh","United States","    4536.300000000000181898940355","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1985/86","Marketing year","August",NA,"Exports","Apples","Fresh","United States","     390.192000000000007275957614","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1985/86","Marketing year","August",NA,"Domestic availability","Apples","Fresh","United States","    4136.208000000000538420863450","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1985/86","Marketing year","August",NA,"Per capita availability","Apples","Fresh","United States","      17.301546499303114501344680","pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1986/87","Marketing year","August",NA,"Utilized production","Apples","Fresh","United States","    4463.600000000000363797880709","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1986/87","Marketing year","August",NA,"Imports","Apples","Fresh","United States","     310.199999999999988631316228","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1986/87","Marketing year","August",NA,"Supply","Apples","Fresh","United States","    4773.800000000000181898940355","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1986/87","Marketing year","August",NA,"Exports","Apples","Fresh","United States","     445.701999999999998181010596","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1986/87","Marketing year","August",NA,"Domestic availability","Apples","Fresh","United States","    4313.997999999999592546373606","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1986/87","Marketing year","August",NA,"Per capita availability","Apples","Fresh","United States","      17.900679945736690967805771","pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1987/88","Marketing year","August",NA,"Utilized production","Apples","Fresh","United States","    5610.100000000000363797880709","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1987/88","Marketing year","August",NA,"Imports","Apples","Fresh","United States","     262.800000000000011368683772","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1987/88","Marketing year","August",NA,"Supply","Apples","Fresh","United States","    5872.899999999999636202119291","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1987/88","Marketing year","August",NA,"Exports","Apples","Fresh","United States","     780.701999999999998181010596","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1987/88","Marketing year","August",NA,"Domestic availability","Apples","Fresh","United States","    5081.898000000000138243194669","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1987/88","Marketing year","August",NA,"Per capita availability","Apples","Fresh","United States","      20.871289157762287658215428","pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1988/89","Marketing year","August",NA,"Utilized production","Apples","Fresh","United States","    5230.300000000000181898940355","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1988/89","Marketing year","August",NA,"Imports","Apples","Fresh","United States","     256.300000000000011368683772","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1988/89","Marketing year","August",NA,"Supply","Apples","Fresh","United States","    5486.600000000000363797880709","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1988/89","Marketing year","August",NA,"Exports","Apples","Fresh","United States","     602.543000000000006366462912","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1988/89","Marketing year","August",NA,"Domestic availability","Apples","Fresh","United States","    4884.057000000000698491930962","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1988/89","Marketing year","August",NA,"Per capita availability","Apples","Fresh","United States","      19.835828351419849013836938","pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1989/90","Marketing year","August",NA,"Utilized production","Apples","Fresh","United States","    5822.300000000000181898940355","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1989/90","Marketing year","August",NA,"Imports","Apples","Fresh","United States","     227.957999999999998408384272","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1989/90","Marketing year","August",NA,"Supply","Apples","Fresh","United States","    6050.257999999999810825102031","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1989/90","Marketing year","August",NA,"Exports","Apples","Fresh","United States","     773.947000000000002728484105","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1989/90","Marketing year","August",NA,"Domestic availability","Apples","Fresh","United States","    5276.310999999999694409780204","million pounds"
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date","1989/90","Marketing year","August",NA,"Per capita availability","Apples","Fresh","United States","      21.219063054222850439600734","pounds"
