"table_name","year_value","year_unit","year_start_month","month","variable","commodity_element","market_segment","geographic_extent","value","unit"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Apples","Fresh","United States","       2.815336611195158322829002","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Apricots","Fresh","United States","       0.000000000000000000000000","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Avocados","Fresh","United States","       2.528445006321112575875532","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Bananas","Fresh","United States","      99.871384324636466089941678","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Blueberries","Fresh","United States","                               NA","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Cherries","Fresh","United States","       0.200000000000000011102230","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Cranberries","Fresh","United States","       0.000000000000000000000000","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Grapes","Fresh","United States","       5.889852116267212167599610","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Kiwifruit","Fresh","United States","                               NA","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Mangoes","Fresh","United States","      49.837937953387864808973973","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Papayas","Fresh","United States","       1.131477709889115335073484","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Peaches and nectarines","Fresh","United States","       0.278732695345163983269288","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Pears","Fresh","United States","       2.624495289367429151639044","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Pineapples","Fresh","United States","      48.041422782530396773381653","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Plums","Fresh","United States","       0.591922005571030585002745","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Raspberries","Fresh","United States","                               NA","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Strawberries","Fresh","United States","       8.912931478619267267049509","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Grapefruit","Fresh","United States","       0.578946928937047800012294","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Lemons","Fresh","United States","       0.000000000000000000000000","percent of fresh fruit availability"
"Table H-1--Import share, fresh fruit: Percent of domestic fresh fruit availability accounted for by imports, 1975 to date","1975","Calendar year","January",NA,"Import share","Limes","Fresh","United States","      16.204690831556504804211727","percent of fresh fruit availability"
