"commodity_desc","geography_desc","attribute_desc","unit_desc","year_id","month_id","month_desc","amount"
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2025,9,"September",239.5
"Cattle","Nebraska","Steers 65-80 percent Choice","Dollars per hundredweight",2025,9,"September",240
"Cattle","Oklahoma City, OK","Steers: medium and large #1 500-550 pounds","Dollars per hundredweight",2025,9,"September",435.25
"Cattle","Oklahoma City, OK","Steers: medium and large #1 600-650 pounds","Dollars per hundredweight",2025,9,"September",399.75
"Cattle","Oklahoma City, OK","Steers: medium and large #1 750-800 pounds","Dollars per hundredweight",2025,9,"September",368
"Cattle","Oklahoma City, OK","Heifers: medium and large #1 450-500 pounds","Dollars per hundredweight",2025,9,"September",409.25
"Cattle","Oklahoma City, OK","Heifers: medium and large #1 700-750 pounds","Dollars per hundredweight",2025,9,"September",345.25
"Hog","National","Barrows and Gilts: Producer sold, average net price (live equivalent = carcass x 0.74)","Dollars per hundredweight",2025,9,"September",75.5
"Hog","Iowa-Minnesota","Sows #1-2, 300-400 pounds","Dollars per hundredweight",2025,9,"September",86
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2000,1,"January",69.07
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2000,2,"February",68.88
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2000,3,"March",71.74
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2000,4,"April",73.13
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2000,5,"May",71.28
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2000,6,"June",69.41
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2000,7,"July",67.22
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2000,8,"August",65.02
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2000,9,"September",65.43
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2000,10,"October",68.51
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2000,11,"November",72.19
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2000,12,"December",76.41
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2001,1,"January",78.79
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2001,2,"February",79.4
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2001,3,"March",79.44
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2001,4,"April",76.5
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2001,5,"May",74.93
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2001,6,"June",72.64
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2001,7,"July",70.71
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2001,8,"August",69.07
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2001,9,"September",68.75
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2001,10,"October",66.3
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2001,11,"November",63.6
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2001,12,"December",63.62
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2002,1,"January",64
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2002,2,"February",71.24
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2002,3,"March",71.97
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2002,4,"April",67.63
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2002,5,"May",65.49
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2002,6,"June",63.85
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2002,7,"July",63.57
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2002,8,"August",63.41
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2002,9,"September",65.63
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2002,10,"October",65.64
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2002,11,"November",70.21
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2002,12,"December",73.11
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2003,1,"January",78.24
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2003,2,"February",80.39
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2003,3,"March",77.34
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2003,4,"April",78.98
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2003,5,"May",78.9
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2003,6,"June",76.49
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2003,7,"July",75.61
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2003,8,"August",79.77
"Cattle","Texas/Oklahoma/New Mexico","Steers 35-65 percent Choice","Dollars per hundredweight",2003,9,"September",87.37
