"commodity_desc","geography_desc","attribute_desc","unit_desc","year_id","month_id","month_desc","amount"
"Beef","Central U.S.","Boxed beef cutout Choice 1-3, 600 - 900 pounds","Dollars per hundredweight",2025,9,"September",396
"Beef","Central U.S.","Boxed beef cutout Select 1-3, 600 - 900 pounds","Dollars per hundredweight",2025,9,"September",373.5
"Beef","Central U.S.","Boneless beef, 90 percent, fresh ","Dollars per hundredweight",2025,9,"September",433.75
"Beef","Central U.S.","Imported boneless beef, 90 percent, frozen ","Dollars per hundredweight",2025,9,"September",378.25
"Pork","Central U.S.","Pork cutout composite","Dollars per hundredweight",2025,9,"September",113
"Pork","Central U.S.","Loins, 1/4"", trimmed vacuum-packed","Dollars per hundredweight",2025,9,"September",115
"Pork","Central U.S.","Bellies, 12-14 pounds, skin on","Dollars per hundredweight",2025,9,"September",215
"Pork","Central U.S.","Hams, 23-27 pounds, trimmed selected","Dollars per hundredweight",2025,9,"September",105.5
"Broilers","National","National composite","Cents per pound",2025,9,"September",116.5
"Broilers","National","Breast, boneless","Cents per pound",2025,9,"September",163
"Broilers","National","Legs, whole","Cents per pound",2025,9,"September",82.5
"Broilers","National","Leg quarters","Cents per pound",2025,9,"September",55.5
"Turkeys","National","Hens, 8-16 pounds","Cents per pound",2025,9,"September",158.5
"Turkeys","National","Toms, 16-24 pounds","Cents per pound",2025,9,"September",158
"Turkeys","National","Breast, 4-8 pounds","Cents per pound",2025,9,"September",118
"Turkeys","National","Drumsticks","Cents per pound",2025,9,"September",177.5
"Turkeys","National","Wings, full cut","Cents per pound",2025,9,"September",187
"Eggs","Combined regional","Eggs, Grade A, large","Cents per dozen",2025,9,"September",252
"Eggs","New York","Eggs, Grade A, large","Cents per dozen",2025,9,"September",242
"Beef","Central U.S.","Boxed beef cutout Choice 1-3, 600 - 900 pounds","Dollars per hundredweight",2000,1,"January",114.74
"Beef","Central U.S.","Boxed beef cutout Choice 1-3, 600 - 900 pounds","Dollars per hundredweight",2000,2,"February",112.59
"Beef","Central U.S.","Boxed beef cutout Choice 1-3, 600 - 900 pounds","Dollars per hundredweight",2000,3,"March",118.42
"Beef","Central U.S.","Boxed beef cutout Choice 1-3, 600 - 900 pounds","Dollars per hundredweight",2000,4,"April",123.45
"Beef","Central U.S.","Boxed beef cutout Choice 1-3, 600 - 900 pounds","Dollars per hundredweight",2000,5,"May",124.88
"Beef","Central U.S.","Boxed beef cutout Choice 1-3, 600 - 900 pounds","Dollars per hundredweight",2000,6,"June",123.3
"Beef","Central U.S.","Boxed beef cutout Choice 1-3, 600 - 900 pounds","Dollars per hundredweight",2000,7,"July",115.85
"Beef","Central U.S.","Boxed beef cutout Choice 1-3, 600 - 900 pounds","Dollars per hundredweight",2000,8,"August",111.2
"Beef","Central U.S.","Boxed beef cutout Choice 1-3, 600 - 900 pounds","Dollars per hundredweight",2000,9,"September",108.68
"Beef","Central U.S.","Boxed beef cutout Choice 1-3, 600 - 900 pounds","Dollars per hundredweight",2000,10,"October",112.58
