Year,Period,Period_Number,Data_Item,Value,Units
2019,Annual,17,Choice beef retail value,604.3,Cents per pound of retail equivalent
2020,Annual,17,Choice beef retail value,653.6,Cents per pound of retail equivalent
2021,Annual,17,Choice beef retail value,724.9,Cents per pound of retail equivalent
2022,Annual,17,Choice beef retail value,758.5,Cents per pound of retail equivalent
2023,Annual,17,Choice beef retail value,798.3,Cents per pound of retail equivalent
2024,Annual,17,Choice beef retail value,823.5,Cents per pound of retail equivalent
2022,"Quarter 3, July-September",15,Choice beef retail value,759.8,Cents per pound of retail equivalent
2022,"Quarter 4, October-December",16,Choice beef retail value,741.2,Cents per pound of retail equivalent
2023,"Quarter 1, January-March",13,Choice beef retail value,759.9,Cents per pound of retail equivalent
2023,"Quarter 2, April-June",14,Choice beef retail value,802.4,Cents per pound of retail equivalent
2023,"Quarter 3, July-September",15,Choice beef retail value,823.7,Cents per pound of retail equivalent
2023,"Quarter 4, October-December",16,Choice beef retail value,807.2,Cents per pound of retail equivalent
2024,"Quarter 1, January-March",13,Choice beef retail value,809.2,Cents per pound of retail equivalent
2024,"Quarter 2, April-June",14,Choice beef retail value,812.7,Cents per pound of retail equivalent
2024,"Quarter 3, July-September",15,Choice beef retail value,845.2,Cents per pound of retail equivalent
2024,"Quarter 4, October-December",16,Choice beef retail value,827.0,Cents per pound of retail equivalent
2025,"Quarter 1, January-March",13,Choice beef retail value,863.2,Cents per pound of retail equivalent
2025,"Quarter 2, April-June",14,Choice beef retail value,897.1,Cents per pound of retail equivalent
2023,September,9,Choice beef retail value,818.1,Cents per pound of retail equivalent
2023,October,10,Choice beef retail value,816.6,Cents per pound of retail equivalent
2023,November,11,Choice beef retail value,803.9,Cents per pound of retail equivalent
2023,December,12,Choice beef retail value,801.1,Cents per pound of retail equivalent
2024,January,1,Choice beef retail value,807.8,Cents per pound of retail equivalent
2024,February,2,Choice beef retail value,807.9,Cents per pound of retail equivalent
2024,March,3,Choice beef retail value,812.0,Cents per pound of retail equivalent
2024,April,4,Choice beef retail value,815.1,Cents per pound of retail equivalent
2024,May,5,Choice beef retail value,811.1,Cents per pound of retail equivalent
2024,June,6,Choice beef retail value,811.9,Cents per pound of retail equivalent
2024,July,7,Choice beef retail value,843.3,Cents per pound of retail equivalent
2024,August,8,Choice beef retail value,851.5,Cents per pound of retail equivalent
2024,September,9,Choice beef retail value,840.8,Cents per pound of retail equivalent
2024,October,10,Choice beef retail value,810.7,Cents per pound of retail equivalent
2024,November,11,Choice beef retail value,832.4,Cents per pound of retail equivalent
2024,December,12,Choice beef retail value,837.9,Cents per pound of retail equivalent
2025,January,1,Choice beef retail value,852.6,Cents per pound of retail equivalent
2025,February,2,Choice beef retail value,863.7,Cents per pound of retail equivalent
2025,March,3,Choice beef retail value,874.5,Cents per pound of retail equivalent
2025,April,4,Choice beef retail value,883.2,Cents per pound of retail equivalent
2025,May,5,Choice beef retail value,881.1,Cents per pound of retail equivalent
2025,June,6,Choice beef retail value,926.6,Cents per pound of retail equivalent
2025,July,7,Choice beef retail value,969.0,Cents per pound of retail equivalent
2025,August,8,Choice beef retail value,985.2,Cents per pound of retail equivalent
2019,Annual,17,Choice beef wholesale value,340.9,Cents per pound of retail equivalent
2020,Annual,17,Choice beef wholesale value,363.2,Cents per pound of retail equivalent
2021,Annual,17,Choice beef wholesale value,423.9,Cents per pound of retail equivalent
2022,Annual,17,Choice beef wholesale value,397.7,Cents per pound of retail equivalent
2023,Annual,17,Choice beef wholesale value,452.9,Cents per pound of retail equivalent
2024,Annual,17,Choice beef wholesale value,468.7,Cents per pound of retail equivalent
2022,"Quarter 3, July-September",15,Choice beef wholesale value,394.4,Cents per pound of retail equivalent
2022,"Quarter 4, October-December",16,Choice beef wholesale value,387.7,Cents per pound of retail equivalent
2023,"Quarter 1, January-March",13,Choice beef wholesale value,421.7,Cents per pound of retail equivalent
2023,"Quarter 2, April-June",14,Choice beef wholesale value,472.0,Cents per pound of retail equivalent
2023,"Quarter 3, July-September",15,Choice beef wholesale value,466.2,Cents per pound of retail equivalent
2023,"Quarter 4, October-December",16,Choice beef wholesale value,451.8,Cents per pound of retail equivalent
2024,"Quarter 1, January-March",13,Choice beef wholesale value,455.3,Cents per pound of retail equivalent
2024,"Quarter 2, April-June",14,Choice beef wholesale value,467.6,Cents per pound of retail equivalent
2024,"Quarter 3, July-September",15,Choice beef wholesale value,476.5,Cents per pound of retail equivalent
2024,"Quarter 4, October-December",16,Choice beef wholesale value,475.4,Cents per pound of retail equivalent
2025,"Quarter 1, January-March",13,Choice beef wholesale value,492.3,Cents per pound of retail equivalent
2025,"Quarter 2, April-June",14,Choice beef wholesale value,540.4,Cents per pound of retail equivalent
2023,September,9,Choice beef wholesale value,462.6,Cents per pound of retail equivalent
2023,October,10,Choice beef wholesale value,458.7,Cents per pound of retail equivalent
2023,November,11,Choice beef wholesale value,453.4,Cents per pound of retail equivalent
2023,December,12,Choice beef wholesale value,443.0,Cents per pound of retail equivalent
2024,January,1,Choice beef wholesale value,442.3,Cents per pound of retail equivalent
2024,February,2,Choice beef wholesale value,452.5,Cents per pound of retail equivalent
2024,March,3,Choice beef wholesale value,470.7,Cents per pound of retail equivalent
2024,April,4,Choice beef wholesale value,454.4,Cents per pound of retail equivalent
2024,May,5,Choice beef wholesale value,463.2,Cents per pound of retail equivalent
2024,June,6,Choice beef wholesale value,486.1,Cents per pound of retail equivalent
2024,July,7,Choice beef wholesale value,486.0,Cents per pound of retail equivalent
2024,August,8,Choice beef wholesale value,478.0,Cents per pound of retail equivalent
2024,September,9,Choice beef wholesale value,463.3,Cents per pound of retail equivalent
2024,October,10,Choice beef wholesale value,476.9,Cents per pound of retail equivalent
2024,November,11,Choice beef wholesale value,470.4,Cents per pound of retail equivalent
2024,December,12,Choice beef wholesale value,478.4,Cents per pound of retail equivalent
2025,January,1,Choice beef wholesale value,500.3,Cents per pound of retail equivalent
2025,February,2,Choice beef wholesale value,483.1,Cents per pound of retail equivalent
2025,March,3,Choice beef wholesale value,491.5,Cents per pound of retail equivalent
2025,April,4,Choice beef wholesale value,512.3,Cents per pound of retail equivalent
2025,May,5,Choice beef wholesale value,539.1,Cents per pound of retail equivalent
2025,June,6,Choice beef wholesale value,576.8,Cents per pound of retail equivalent
2025,July,7,Choice beef wholesale value,572.0,Cents per pound of retail equivalent
2025,August,8,Choice beef wholesale value,599.7,Cents per pound of retail equivalent
