"Geography_description","Report_date","Data_item","Quantity","Unit"
"TRQ countries",2024-09-02,"Product weight",446656.84588,"metric tons"
"Australia",2024-09-02,"Product weight",209730.2391,"metric tons"
"New Zealand",2024-09-02,"Product weight",142851.621,"metric tons"
"Argentina",2024-09-02,"Product weight",14617.45579,"metric tons"
"Uruguay",2024-09-02,"Product weight",14452.52999,"metric tons"
"Other",2024-09-02,"Product weight",65005,"metric tons"
"Total",2024-09-02,"Product weight",446656.84588,"metric tons"
"TRQ countries",2025-09-01,"Imports as a percent of quota",72.5931906976677,"percent"
"Australia",2025-09-01,"Imports as a percent of quota",72.6684363878651,"percent"
"New Zealand",2025-09-01,"Imports as a percent of quota",66.6682564362096,"percent"
"Argentina",2025-09-01,"Imports as a percent of quota",57.22345685,"percent"
"Uruguay",2025-09-01,"Imports as a percent of quota",61.076895,"percent"
"Other",2025-09-01,"Imports as a percent of quota",99.8780832243674,"percent"
"TRQ countries",2025-09-01,"Product weight",505699.41097,"metric tons"
"Australia",2025-09-01,"Product weight",274842.2,"metric tons"
"New Zealand",2025-09-01,"Product weight",142271.3926,"metric tons"
"Argentina",2025-09-01,"Product weight",11444.69137,"metric tons"
"Uruguay",2025-09-01,"Product weight",12215.379,"metric tons"
"Other",2025-09-01,"Product weight",64925.748,"metric tons"
"Total",2025-09-01,"Product weight",505699.41097,"metric tons"
"TRQ countries",2025-09-01,"Tariff-rate quota (TRQ)",696621,"metric tons"
"Australia",2025-09-01,"Tariff-rate quota (TRQ)",378214,"metric tons"
"New Zealand",2025-09-01,"Tariff-rate quota (TRQ)",213402,"metric tons"
"Argentina",2025-09-01,"Tariff-rate quota (TRQ)",20000,"metric tons"
"Uruguay",2025-09-01,"Tariff-rate quota (TRQ)",20000,"metric tons"
"Other",2025-09-01,"Tariff-rate quota (TRQ)",65005,"metric tons"
