"commodity_desc","table_name","attribute_desc","unit_desc","year_id","amount"
"Cattle","Total heifers entering cow herd","Jan 1 cow inventory","1,000 head","2016","39476.2"
"Cattle","Total heifers entering cow herd","Jan 1 cow inventory","1,000 head","2017","40539.2"
"Cattle","Total heifers entering cow herd","Jan 1 cow inventory","1,000 head","2018","40898.3"
"Cattle","Total heifers entering cow herd","Jan 1 cow inventory","1,000 head","2019","40994.1"
"Cattle","Total heifers entering cow herd","Jan 1 cow inventory","1,000 head","2020","40692.3"
"Cattle","Total heifers entering cow herd","Jan 1 cow inventory","1,000 head","2021","40307"
"Cattle","Total heifers entering cow herd","Jan 1 cow inventory","1,000 head","2022","39346.2"
"Cattle","Total heifers entering cow herd","Jan 1 cow inventory","1,000 head","2023","38336.8"
"Cattle","Total heifers entering cow herd","Jan 1 cow inventory","1,000 head","2024","37359.8"
"Cattle","Total heifers entering cow herd","Jan 1 cow inventory","1,000 head","2025","37212.8"
"Cattle","Total heifers entering cow herd","Intended herd replacements Jan 1","1,000 head","2016","11149.2"
"Cattle","Total heifers entering cow herd","Intended herd replacements Jan 1","1,000 head","2017","11117.2"
"Cattle","Total heifers entering cow herd","Intended herd replacements Jan 1","1,000 head","2018","10876.5"
"Cattle","Total heifers entering cow herd","Intended herd replacements Jan 1","1,000 head","2019","10477.4"
"Cattle","Total heifers entering cow herd","Intended herd replacements Jan 1","1,000 head","2020","10338.9"
"Cattle","Total heifers entering cow herd","Intended herd replacements Jan 1","1,000 head","2021","10138.1"
"Cattle","Total heifers entering cow herd","Intended herd replacements Jan 1","1,000 head","2022","9521.6"
"Cattle","Total heifers entering cow herd","Intended herd replacements Jan 1","1,000 head","2023","9003.2"
"Cattle","Total heifers entering cow herd","Intended herd replacements Jan 1","1,000 head","2024","8669.5"
"Cattle","Total heifers entering cow herd","Intended herd replacements Jan 1","1,000 head","2025","8586.7"
"Cattle","Total heifers entering cow herd","Total disappearance Jan–June","1,000 head","2016","3106.06425538745"
"Cattle","Total heifers entering cow herd","Total disappearance Jan–June","1,000 head","2017","3292.71560659762"
"Cattle","Total heifers entering cow herd","Total disappearance Jan–June","1,000 head","2018","3519.87287651036"
"Cattle","Total heifers entering cow herd","Total disappearance Jan–June","1,000 head","2019","3619.92217261299"
"Cattle","Total heifers entering cow herd","Total disappearance Jan–June","1,000 head","2020","3647.63727079361"
"Cattle","Total heifers entering cow herd","Total disappearance Jan–June","1,000 head","2021","3748.16384555643"
"Cattle","Total heifers entering cow herd","Total disappearance Jan–June","1,000 head","2022","3947.68891491151"
"Cattle","Total heifers entering cow herd","Total disappearance Jan–June","1,000 head","2023","3803.38985559898"
"Cattle","Total heifers entering cow herd","Total disappearance Jan–June","1,000 head","2024","3282.21702129311"
"Cattle","Total heifers entering cow herd","Total disappearance Jan–June","1,000 head","2025","2907.82532302554"
"Cattle","Total heifers entering cow herd","July 1 cow inventory","1,000 head","2016","NA"
"Cattle","Total heifers entering cow herd","July 1 cow inventory","1,000 head","2017","41500"
"Cattle","Total heifers entering cow herd","July 1 cow inventory","1,000 head","2018","41800"
"Cattle","Total heifers entering cow herd","July 1 cow inventory","1,000 head","2019","41600"
"Cattle","Total heifers entering cow herd","July 1 cow inventory","1,000 head","2020","41400"
"Cattle","Total heifers entering cow herd","July 1 cow inventory","1,000 head","2021","40600"
"Cattle","Total heifers entering cow herd","July 1 cow inventory","1,000 head","2022","39600"
"Cattle","Total heifers entering cow herd","July 1 cow inventory","1,000 head","2023","38400"
"Cattle","Total heifers entering cow herd","July 1 cow inventory","1,000 head","2024","NA"
"Cattle","Total heifers entering cow herd","July 1 cow inventory","1,000 head","2025","38100"
"Cattle","Total heifers entering cow herd","Heifers entering the herd Jan–June","1,000 head","2016","NA"
"Cattle","Total heifers entering cow herd","Heifers entering the herd Jan–June","1,000 head","2017","4253.5156065976189"
"Cattle","Total heifers entering cow herd","Heifers entering the herd Jan–June","1,000 head","2018","4421.5728765103631"
"Cattle","Total heifers entering cow herd","Heifers entering the herd Jan–June","1,000 head","2019","4225.8221726129923"
"Cattle","Total heifers entering cow herd","Heifers entering the herd Jan–June","1,000 head","2020","4355.3372707936069"
"Cattle","Total heifers entering cow herd","Heifers entering the herd Jan–June","1,000 head","2021","4041.1638455564316"
"Cattle","Total heifers entering cow herd","Heifers entering the herd Jan–June","1,000 head","2022","4201.4889149115115"
"Cattle","Total heifers entering cow herd","Heifers entering the herd Jan–June","1,000 head","2023","3866.589855598977"
"Cattle","Total heifers entering cow herd","Heifers entering the herd Jan–June","1,000 head","2024","NA"
"Cattle","Total heifers entering cow herd","Heifers entering the herd Jan–June","1,000 head","2025","3795.0253230255403"
"Cattle","Total heifers entering cow herd","Percent entering Jan-June","Percent","2016","NA"
"Cattle","Total heifers entering cow herd","Percent entering Jan-June","Percent","2017","38.260673610240154"
"Cattle","Total heifers entering cow herd","Percent entering Jan-June","Percent","2018","40.652534147109485"
"Cattle","Total heifers entering cow herd","Percent entering Jan-June","Percent","2019","40.332736868049253"
"Cattle","Total heifers entering cow herd","Percent entering Jan-June","Percent","2020","42.125731661913811"
"Cattle","Total heifers entering cow herd","Percent entering Jan-June","Percent","2021","39.86115589268632"
"Cattle","Total heifers entering cow herd","Percent entering Jan-June","Percent","2022","44.125870808598464"
"Cattle","Total heifers entering cow herd","Percent entering Jan-June","Percent","2023","42.946839519270668"
"Cattle","Total heifers entering cow herd","Percent entering Jan-June","Percent","2024","NA"
