"commodity_desc","geography_desc","attribute_desc","unit_desc","timeperiod_desc","year_id","month_id","amount"
"Cattle","High Plains","Expenses: 750 pound feeder steer","dollars per head","Apr-24 to Aug-24",2024,4,"1916.6568544366899"
"Cattle","High Plains","Expenses: Total feed, handling, and management charge","dollars per head","Apr-24 to Aug-24",2024,4,"339.57839144748226"
"Cattle","High Plains","Expenses: Interest on feeder and 1/2 feed","dollars per head","Apr-24 to Aug-24",2024,4,"95.872196004871796"
"Cattle","High Plains","Expenses: Death loss (1 percent of purchase)","dollars per head","Apr-24 to Aug-24",2024,4,"19.1665685443669"
"Cattle","High Plains","Marketing","dollars per head","Apr-24 to Aug-24",2024,4,"f.o.b."
"Cattle","High Plains","Expenses: Total expenses","dollars per head","Apr-24 to Aug-24",2024,4,"2371.2740104334107"
"Cattle","High Plains","Selling price required to cover: Feed and feeder cost","dollars per hundredweight","Apr-24 to Aug-24",2024,4,"187.82137401518912"
"Cattle","High Plains","Selling price required to cover: All costs","dollars per hundredweight","Apr-24 to Aug-24",2024,4,"197.39783057576406"
"Cattle","High Plains","Selling price required to cover: Selling price","dollars per hundredweight","Apr-24 to Aug-24",2024,4,"185.24"
"Cattle","High Plains","Selling price required to cover: Net margin","dollars per hundredweight","Apr-24 to Aug-24",2024,4,"-12.157830575764052"
"Cattle","High Plains","Cost per 100 pounds gain: Variable cost less interest","dollars per hundredweight","Apr-24 to Aug-24",2024,4,"79.497361313514105"
"Cattle","High Plains","Cost per 100 pounds gain: Feed costs","dollars per hundredweight","Apr-24 to Aug-24",2024,4,"75.250077603252691"
"Cattle","High Plains","Cost per 100 pounds gain: Total costs","dollars per hundredweight","Apr-24 to Aug-24",2024,4,"100.7425004951001"
"Cattle","OK City","Prices: Choice feeder steer 750-800 pounds","dollars per hundredweight","Apr-24 to Aug-24",2024,4,"254.15424725822533"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Milo ","dollars per hundredweight","Apr-24 to Aug-24",2024,4,"7.833601190476192"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Corn","dollars per hundredweight","Apr-24 to Aug-24",2024,4,"8.7844642857142841"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Wheat","dollars per hundredweight","Apr-24 to Aug-24",2024,4,"8.5745580808080817"
"Cattle","High Plains","Prices: Cottonseed meal (41 percent)","dollars per hundredweight","Apr-24 to Aug-24",2024,4,"18.375"
"Cattle","High Plains","Prices: Cottonseed meal Alfalfa hay","dollars per ton","Apr-24 to Aug-24",2024,4,"301"
"Cattle","High Plains","Prices: Interest, annual rate","percent","Apr-24 to Aug-24",2024,4,"9.19"
"Cattle","High Plains","Expenses: 750 pound feeder steer","dollars per head","May-24 to Sep-24",2024,5,"1914.75"
"Cattle","High Plains","Expenses: Total feed, handling, and management charge","dollars per head","May-24 to Sep-24",2024,5,"356.66283701988471"
"Cattle","High Plains","Expenses: Interest on feeder and 1/2 feed","dollars per head","May-24 to Sep-24",2024,5,"96.17709118053186"
"Cattle","High Plains","Expenses: Death loss (1 percent of purchase)","dollars per head","May-24 to Sep-24",2024,5,"19.147500000000001"
"Cattle","High Plains","Marketing","dollars per head","May-24 to Sep-24",2024,5,"f.o.b."
"Cattle","High Plains","Expenses: Total expenses","dollars per head","May-24 to Sep-24",2024,5,"2386.7374282004166"
"Cattle","High Plains","Selling price required to cover: Feed and feeder cost","dollars per hundredweight","May-24 to Sep-24",2024,5,"189.08483979365815"
"Cattle","High Plains","Selling price required to cover: All costs","dollars per hundredweight","May-24 to Sep-24",2024,5,"198.68509012782897"
"Cattle","High Plains","Selling price required to cover: Selling price","dollars per hundredweight","May-24 to Sep-24",2024,5,"182.91"
"Cattle","High Plains","Selling price required to cover: Net margin","dollars per hundredweight","May-24 to Sep-24",2024,5,"-15.775090127828975"
"Cattle","High Plains","Cost per 100 pounds gain: Variable cost less interest","dollars per hundredweight","May-24 to Sep-24",2024,5,"83.279024040092679"
"Cattle","High Plains","Cost per 100 pounds gain: Feed costs","dollars per hundredweight","May-24 to Sep-24",2024,5,"79.035965891526345"
"Cattle","High Plains","Cost per 100 pounds gain: Total costs","dollars per hundredweight","May-24 to Sep-24",2024,5,"104.5917275491127"
"Cattle","OK City","Prices: Choice feeder steer 750-800 pounds","dollars per hundredweight","May-24 to Sep-24",2024,5,"253.9"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Milo ","dollars per hundredweight","May-24 to Sep-24",2024,5,"8.1978652597402579"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Corn","dollars per hundredweight","May-24 to Sep-24",2024,5,"9.244407467532465"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Wheat","dollars per hundredweight","May-24 to Sep-24",2024,5,"10.153108585858586"
"Cattle","High Plains","Prices: Cottonseed meal (41 percent)","dollars per hundredweight","May-24 to Sep-24",2024,5,"18"
"Cattle","High Plains","Prices: Cottonseed meal Alfalfa hay","dollars per ton","May-24 to Sep-24",2024,5,"300"
"Cattle","High Plains","Prices: Interest, annual rate","percent","May-24 to Sep-24",2024,5,"9.19"
"Cattle","High Plains","Expenses: 750 pound feeder steer","dollars per head","Jun-24 to Oct-24",2024,6,"1986.5250000000001"
"Cattle","High Plains","Expenses: Total feed, handling, and management charge","dollars per head","Jun-24 to Oct-24",2024,6,"339.12604044700004"
"Cattle","High Plains","Expenses: Interest on feeder and 1/2 feed","dollars per head","Jun-24 to Oct-24",2024,6,"99.072244529269838"
"Cattle","High Plains","Expenses: Death loss (1 percent of purchase)","dollars per head","Jun-24 to Oct-24",2024,6,"19.86525"
"Cattle","High Plains","Marketing","dollars per head","Jun-24 to Oct-24",2024,6,"f.o.b."
"Cattle","High Plains","Expenses: Total expenses","dollars per head","Jun-24 to Oct-24",2024,6,"2444.5885349762698"
"Cattle","High Plains","Selling price required to cover: Feed and feeder cost","dollars per hundredweight","Jun-24 to Oct-24",2024,6,"193.59992478330162"
"Cattle","High Plains","Selling price required to cover: All costs","dollars per hundredweight","Jun-24 to Oct-24",2024,6,"203.50093297168195"
"Cattle","High Plains","Selling price required to cover: Selling price","dollars per hundredweight","Jun-24 to Oct-24",2024,6,"188.65"
"Cattle","High Plains","Selling price required to cover: Net margin","dollars per hundredweight","Jun-24 to Oct-24",2024,6,"-14.850932971681942"
"Cattle","High Plains","Cost per 100 pounds gain: Variable cost less interest","dollars per hundredweight","Jun-24 to Oct-24",2024,6,"79.551947784069924"
"Cattle","High Plains","Cost per 100 pounds gain: Feed costs","dollars per hundredweight","Jun-24 to Oct-24",2024,6,"75.149837279523311"
"Cattle","High Plains","Cost per 100 pounds gain: Total costs","dollars per hundredweight","Jun-24 to Oct-24",2024,6,"101.50621306395882"
"Cattle","OK City","Prices: Choice feeder steer 750-800 pounds","dollars per hundredweight","Jun-24 to Oct-24",2024,6,"263.47000000000003"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Milo ","dollars per hundredweight","Jun-24 to Oct-24",2024,6,"7.7627192982456146"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Corn","dollars per hundredweight","Jun-24 to Oct-24",2024,6,"9.0178822055137822"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Wheat","dollars per hundredweight","Jun-24 to Oct-24",2024,6,"9.2935964912280724"
"Cattle","High Plains","Prices: Cottonseed meal (41 percent)","dollars per hundredweight","Jun-24 to Oct-24",2024,6,"18"
"Cattle","High Plains","Prices: Cottonseed meal Alfalfa hay","dollars per ton","Jun-24 to Oct-24",2024,6,"293"
"Cattle","High Plains","Prices: Interest, annual rate","percent","Jun-24 to Oct-24",2024,6,"9.19"
"Cattle","High Plains","Expenses: 750 pound feeder steer","dollars per head","Jul-24 to Nov-24",2024,7,"1983.4696113074206"
"Cattle","High Plains","Expenses: Total feed, handling, and management charge","dollars per head","Jul-24 to Nov-24",2024,7,"297.10228789643509"
"Cattle","High Plains","Expenses: Interest on feeder and 1/2 feed","dollars per head","Jul-24 to Nov-24",2024,7,"97.96635370399656"
"Cattle","High Plains","Expenses: Death loss (1 percent of purchase)","dollars per head","Jul-24 to Nov-24",2024,7,"19.834696113074205"
"Cattle","High Plains","Marketing","dollars per head","Jul-24 to Nov-24",2024,7,"f.o.b."
"Cattle","High Plains","Expenses: Total expenses","dollars per head","Jul-24 to Nov-24",2024,7,"2398.3729490209262"
"Cattle","High Plains","Selling price required to cover: Feed and feeder cost","dollars per hundredweight","Jul-24 to Nov-24",2024,7,"189.97431235122772"
"Cattle","High Plains","Selling price required to cover: All costs","dollars per hundredweight","Jul-24 to Nov-24",2024,7,"199.78727788020896"
"Cattle","High Plains","Selling price required to cover: Selling price","dollars per hundredweight","Jul-24 to Nov-24",2024,7,"187.01"
"Cattle","High Plains","Selling price required to cover: Net margin","dollars per hundredweight","Jul-24 to Nov-24",2024,7,"-12.77727788020897"
