Year,Month,Month-number,Data_Item,Value,Units
1970,January,1,Pork byproduct value,4.300000000000000000000000000000,Cents per pound of retail equivalent
1970,February,2,Pork byproduct value,4.700000000000000000000000000000,Cents per pound of retail equivalent
1970,March,3,Pork byproduct value,4.800000000000000000000000000000,Cents per pound of retail equivalent
1970,April,4,Pork byproduct value,4.300000000000000000000000000000,Cents per pound of retail equivalent
1970,May,5,Pork byproduct value,3.700000000000000000000000000000,Cents per pound of retail equivalent
1970,June,6,Pork byproduct value,3.700000000000000000000000000000,Cents per pound of retail equivalent
1970,July,7,Pork byproduct value,3.800000000000000000000000000000,Cents per pound of retail equivalent
1970,August,8,Pork byproduct value,3.600000000000000000000000000000,Cents per pound of retail equivalent
1970,September,9,Pork byproduct value,3.500000000000000000000000000000,Cents per pound of retail equivalent
1970,October,10,Pork byproduct value,3.100000000000000000000000000000,Cents per pound of retail equivalent
1970,November,11,Pork byproduct value,2.600000000000000000000000000000,Cents per pound of retail equivalent
1970,December,12,Pork byproduct value,2.400000000000000000000000000000,Cents per pound of retail equivalent
1971,January,1,Pork byproduct value,2.500000000000000000000000000000,Cents per pound of retail equivalent
1971,February,2,Pork byproduct value,3.100000000000000000000000000000,Cents per pound of retail equivalent
1971,March,3,Pork byproduct value,2.800000000000000000000000000000,Cents per pound of retail equivalent
1971,April,4,Pork byproduct value,2.600000000000000000000000000000,Cents per pound of retail equivalent
1971,May,5,Pork byproduct value,2.800000000000000000000000000000,Cents per pound of retail equivalent
1971,June,6,Pork byproduct value,2.900000000000000000000000000000,Cents per pound of retail equivalent
1971,July,7,Pork byproduct value,3.100000000000000000000000000000,Cents per pound of retail equivalent
1971,August,8,Pork byproduct value,3.100000000000000000000000000000,Cents per pound of retail equivalent
1971,September,9,Pork byproduct value,3.000000000000000000000000000000,Cents per pound of retail equivalent
1971,October,10,Pork byproduct value,3.000000000000000000000000000000,Cents per pound of retail equivalent
1971,November,11,Pork byproduct value,2.800000000000000000000000000000,Cents per pound of retail equivalent
1971,December,12,Pork byproduct value,2.900000000000000000000000000000,Cents per pound of retail equivalent
1972,January,1,Pork byproduct value,3.200000000000000000000000000000,Cents per pound of retail equivalent
1972,February,2,Pork byproduct value,3.200000000000000000000000000000,Cents per pound of retail equivalent
1972,March,3,Pork byproduct value,3.000000000000000000000000000000,Cents per pound of retail equivalent
1972,April,4,Pork byproduct value,3.200000000000000000000000000000,Cents per pound of retail equivalent
1972,May,5,Pork byproduct value,3.200000000000000000000000000000,Cents per pound of retail equivalent
1972,June,6,Pork byproduct value,3.500000000000000000000000000000,Cents per pound of retail equivalent
1972,July,7,Pork byproduct value,3.600000000000000000000000000000,Cents per pound of retail equivalent
1972,August,8,Pork byproduct value,3.800000000000000000000000000000,Cents per pound of retail equivalent
1972,September,9,Pork byproduct value,3.500000000000000000000000000000,Cents per pound of retail equivalent
1972,October,10,Pork byproduct value,3.600000000000000000000000000000,Cents per pound of retail equivalent
1972,November,11,Pork byproduct value,3.500000000000000000000000000000,Cents per pound of retail equivalent
1972,December,12,Pork byproduct value,3.600000000000000000000000000000,Cents per pound of retail equivalent
1973,January,1,Pork byproduct value,3.700000000000000000000000000000,Cents per pound of retail equivalent
1973,February,2,Pork byproduct value,4.500000000000000000000000000000,Cents per pound of retail equivalent
1973,March,3,Pork byproduct value,5.200000000000000000000000000000,Cents per pound of retail equivalent
1973,April,4,Pork byproduct value,5.900000000000000000000000000000,Cents per pound of retail equivalent
1973,May,5,Pork byproduct value,5.500000000000000000000000000000,Cents per pound of retail equivalent
1973,June,6,Pork byproduct value,6.000000000000000000000000000000,Cents per pound of retail equivalent
1973,July,7,Pork byproduct value,7.100000000000000000000000000000,Cents per pound of retail equivalent
