Year,Month,Month_Number,Data_Item,Value,Units
2025,March,3,Consumer price index all items,319.799,1982-84=100
2025,April,4,Consumer price index all items,320.795,1982-84=100
2025,May,5,Consumer price index all items,321.465,1982-84=100
2025,June,6,Consumer price index all items,322.561,1982-84=100
2025,July,7,Consumer price index all items,323.048,1982-84=100
2025,August,8,Consumer price index all items,323.976,1982-84=100
2025,March,3,Consumer price index all food,337.751,1982-84=100
2025,April,4,Consumer price index all food,337.747,1982-84=100
2025,May,5,Consumer price index all food,338.598,1982-84=100
2025,June,6,Consumer price index all food,339.498,1982-84=100
2025,July,7,Consumer price index all food,340.036,1982-84=100
2025,August,8,Consumer price index all food,341.295,1982-84=100
2025,March,3,Consumer price index all meat,346.005,1982-84=100
2025,April,4,Consumer price index all meat,346.530,1982-84=100
2025,May,5,Consumer price index all meat,347.384,1982-84=100
2025,June,6,Consumer price index all meat,351.703,1982-84=100
2025,July,7,Consumer price index all meat,357.909,1982-84=100
2025,August,8,Consumer price index all meat,363.913,1982-84=100
2025,March,3,Consumer price index beef and veal,450.262,1982-84=100
2025,April,4,Consumer price index beef and veal,453.243,1982-84=100
2025,May,5,Consumer price index beef and veal,455.104,1982-84=100
2025,June,6,Consumer price index beef and veal,465.866,1982-84=100
2025,July,7,Consumer price index beef and veal,477.484,1982-84=100
2025,August,8,Consumer price index beef and veal,490.280,1982-84=100
2025,March,3,Consumer price index pork,270.383,1982-84=100
2025,April,4,Consumer price index pork,266.785,1982-84=100
2025,May,5,Consumer price index pork,268.747,1982-84=100
2025,June,6,Consumer price index pork,269.386,1982-84=100
2025,July,7,Consumer price index pork,272.994,1982-84=100
2025,August,8,Consumer price index pork,273.591,1982-84=100
2025,March,3,Consumer price index poultry,308.498,1982-84=100
2025,April,4,Consumer price index poultry,311.422,1982-84=100
2025,May,5,Consumer price index poultry,313.020,1982-84=100
2025,June,6,Consumer price index poultry,315.693,1982-84=100
2025,July,7,Consumer price index poultry,315.235,1982-84=100
2025,August,8,Consumer price index poultry,314.008,1982-84=100
2025,March,3,Retail prices or values: Choice beef retail value,874.5,Cents per pound
2025,April,4,Retail prices or values: Choice beef retail value,883.2,Cents per pound
2025,May,5,Retail prices or values: Choice beef retail value,881.1,Cents per pound
