"seriesType","seriesID","seriesName","year","monthNumber","unit","value"
"Average retail price","APU0000711211","Bananas","2025",8,"Dollars per pound",0.666
"Average retail price","APU0000711311","Oranges, navel","2025",8,"Dollars per pound",1.795
"Average retail price","APU0000711411","Grapefruit","2025",8,"Dollars per pound",1.717
"Average retail price","APU0000711412","Lemons","2025",8,"Dollars per pound",2.081
"Average retail price","APU0000711415","Strawberries","2025",8,"Dollars per 12 oz.",2.408
"Average retail price","APU0000712112","Potatoes, white","2025",8,"Dollars per pound",1.001
"Average retail price","APU0000712211","Lettuce, iceberg","2025",8,"Dollars per pound",1.673
"Average retail price","APU0000712311","Tomatoes, field grown","2025",8,"Dollars per pound",1.925
"Average retail price","APU0000713111","Orange juice, frozen concentrate","2025",8,"Dollars per 16 oz.",4.67
"Average retail price","APU0000714233","Beans, dried","2025",8,"Dollars per pound",1.547
"Average retail price","APU0000718311","Potato chips","2025",8,"Dollars per 16 oz.",6.751
"Consumer Price Index","CUUR0000SAF1","Food","2025",8,"Base 1982-84=100",341.295
"Consumer Price Index","CUUR0000SAF11","Food at home","2025",8,"Base 1982-84=100",314.608
"Consumer Price Index","CUUR0000SAF1131","Fresh fruits and vegetables","2025",8,"Base 1982-84=100",400.821
"Consumer Price Index","CUUR0000SEFK","Fresh fruits","2025",8,"Base 1982-84=100",409.8
"Consumer Price Index","CUUR0000SEFK01","Apples","2025",8,"Base 1982-84=100",374.16
"Consumer Price Index","CUUR0000SEFK02","Bananas","2025",8,"Base 1982-84=100",220.366
"Consumer Price Index","CUUR0000SEFK03","Citrus fruits","2025",8,"Base December 1997=100",308.468
"Consumer Price Index","CUUR0000SEFK04","Other fresh fruits","2025",8,"Base December 1997=100",135.279
"Consumer Price Index","CUUR0000SEFL","Fresh vegetables","2025",8,"Base 1982-84=100",389.524
"Consumer Price Index","CUUR0000SEFL01","Potatoes","2025",8,"Base 1982-84=100",442.859
"Consumer Price Index","CUUR0000SEFL02","Lettuce","2025",8,"Base 1982-84=100",412.99
"Consumer Price Index","CUUR0000SEFL03","Tomatoes","2025",8,"Base 1982-84=100",356.457
"Consumer Price Index","CUUR0000SEFL04","Other fresh vegetables","2025",8,"Base 1982-84=100",387.39
"Consumer Price Index","CUUR0000SEFM","Processed fruits and vegetables","2025",8,"Base December 1997=100",206.462
"Consumer Price Index","CUUR0000SEFM02","Frozen fruits and vegetables","2025",8,"Base December 1997=100",185.295
"Consumer Price Index","CUUR0000SEFN","Juices and nonalcoholic drinks","2025",8,"Base December 1997=100",177.482
"Consumer Price Index","CUUR0000SEFV","Food away from home","2025",8,"Base 1982-84=100",384.909
"Consumer Price Index","CUUR0000SS11031","Oranges, including tangerines","2025",8,"Base 1982-84=100",642.476
"Consumer Price Index","CUUR0000SS13031","Canned fruits","2025",8,"Base December 1997=100",213.505
"Consumer Price Index","CUUR0000SS14011","Frozen vegetables","2025",8,"Base 1982-84=100",258.819
"Consumer Price Index","CUUR0000SS14021","Canned vegetables","2025",8,"Base December 1997=100",242.066
"Consumer Price Index","CUUR0000SS14022","Dried beans, peas, and lentils","2025",8,"Base December 1997=100",236.543
"Consumer Price Index","CUUR0000SS18042","Olives, pickles, relishes","2025",8,"Base December 1997=100",196.351
"Consumer Price Index","CUUR0000SS18064","Prepared salads","2025",8,"Base 1982-84=100",160.176
"Producer Price Index","PCU3114233114235","Dried fruits and vegetables","2025",8,"Base 1982=100",298.398
"Producer Price Index","WPU01","All farm products","2025",8,"Base 1982=100",238.8
"Producer Price Index","WPU0111","All fresh fruits and melons","2025",8,"Base 1982=100",147.5
"Producer Price Index","WPU011101","All citrus fruits","2025",8,"Base 1982=100",417.5
"Producer Price Index","WPU01110101","Grapefruits","2025",8,"Base 1982=100",663.4
"Producer Price Index","WPU01110104","Lemons","2025",8,"Base 1982=100",374.8
"Producer Price Index","WPU01110105","Oranges, Valencia","2025",8,"Base 1982=100",287.5
"Producer Price Index","WPU01110108","Tangerines","2025",8,"Base 1991=100",575.1
"Producer Price Index","WPU011102","All other fruits and berries","2025",8,"Base 1982=100",123.9
"Producer Price Index","WPU01110201","Plums and fresh prunes","2025",8,"Base 1991=100",420.8
"Producer Price Index","WPU01110202","Nectarines","2025",8,"Base 1991=100",169.8
"Producer Price Index","WPU01110208","Apples, Granny Smith","2025",8,"Base 1991=100",117.7
"Producer Price Index","WPU01110211","Apples, Golden Delicious","2025",8,"Base 1991=100",162.4
"Producer Price Index","WPU01110215","Apples, Red Delicious","2025",8,"Base 1991=100",242.1
"Producer Price Index","WPU01110216","Apples, McIntosh","2025",8,"Base 1982=100",221.1
"Producer Price Index","WPU01110219","Peaches","2025",8,"Base 1982=100",354.8
"Producer Price Index","WPU01110221","Pears","2025",8,"Base 1982=100",162.5
"Producer Price Index","WPU01110222","Strawberries","2025",8,"Base 1982=100",82.9
"Producer Price Index","WPU01110224","Raspberries","2025",8,"Base 1991=100",27.2
"Producer Price Index","WPU01110225","Blackberries","2025",8,"Base 1991=100",56.7
"Producer Price Index","WPU011103","All melons","2025",8,"Base 1991=100",116.7
"Producer Price Index","WPU01110301","Cantaloupes","2025",8,"Base 1982=100",110.9
"Producer Price Index","WPU01110302","Honeydews","2025",8,"Base 1991=100",150.5
"Producer Price Index","WPU01110303","Watermelons","2025",8,"Base 1991=100",191.1
"Producer Price Index","WPU0113","All fresh and dry vegetables","2025",8,"Base 1982=100",269.4
"Producer Price Index","WPU011301","All dry vegetables (dry beans, peas, and lentils)","2025",8,"Base 1982=100",179.5
"Producer Price Index","WPU011302","All fresh vegetables, except potatoes","2025",8,"Base 1982=100",287
"Producer Price Index","WPU01130211","Cabbage","2025",8,"Base 1982=100",331
"Producer Price Index","WPU01130212","Carrots","2025",8,"Base 1982=100",277.9
"Producer Price Index","WPU01130213","Celery","2025",8,"Base 1982=100",188.7
"Producer Price Index","WPU01130215","Lettuce","2025",8,"Base 1982=100",422.1
"Producer Price Index","WPU01130216","Onions, dry","2025",8,"Base 1982=100",168.4
"Producer Price Index","WPU01130217","Tomatoes","2025",8,"Base 1982=100",306.6
"Producer Price Index","WPU01130218","Snap beans","2025",8,"Base 1982=100",191.8
"Producer Price Index","WPU01130222","Broccoli","2025",8,"Base 1991=100",174.3
"Producer Price Index","WPU01130223","Cauliflower","2025",8,"Base 1991=100",64.1
"Producer Price Index","WPU01130224","Spinach","2025",8,"Base 1991=100",379.5
"Producer Price Index","WPU01130225","Greens","2025",8,"Base 1991=100",261.9
"Producer Price Index","WPU01130226","Endive","2025",8,"Base 1991=100",773.7
"Producer Price Index","WPU01130228","Green peppers","2025",8,"Base 1991=100",416.5
"Producer Price Index","WPU01130231","Squash","2025",8,"Base 1991=100",305.5
"Producer Price Index","WPU01130232","Beets","2025",8,"Base 1991=100",174.9
"Producer Price Index","WPU01130234","Cucumbers","2025",8,"Base 1991=100",245.2
"Producer Price Index","WPU011303","Sweet potatoes","2025",8,"Base 1982=100",186.4
"Producer Price Index","WPU011306","Potatoes, all","2025",8,"Base 2011=100",126.8
"Producer Price Index","WPU01130603","Potatoes, russet","2025",8,"Base 1991=100",201
"Producer Price Index","WPU01130604","Potatoes, round red","2025",8,"Base 1991=100",200.7
"Producer Price Index","WPU0119","All tree nuts","2025",8,"Base 1982=100",1385.8
"Producer Price Index","WPU01190101","Pecans","2025",8,"Base 1982=100",857.5
"Producer Price Index","WPU01190102","Almonds","2025",8,"Base 1991=100",390.4
"Producer Price Index","WPU01190103","Filberts","2025",8,"Base 1991=100",361.8
"Producer Price Index","WPU01190104","Walnuts","2025",8,"Base 1991=100",230.8
"Producer Price Index","WPU02","All processed foods and feeds","2025",8,"Base 1982=100",277.4
"Producer Price Index","WPU024","All processed fruits and vegetables","2025",8,"Base 1982=100",296.4
"Producer Price Index","WPU0241","All canned fruits and juices","2025",8,"Base 1982=100",318.6
"Producer Price Index","WPU024101","Canned fruits, excluding baby foods","2025",8,"Base 1982=100",315.2
"Producer Price Index","WPU024102","Canned and fresh fruit juices, nectars, and concentrates","2025",8,"Base 1982=100",328
"Producer Price Index","WPU0242","All frozen fruits, juices and ades","2025",8,"Base 1982=100",351
"Producer Price Index","WPU024202","Frozen fruits","2025",8,"Base 1982=100",314.9
"Producer Price Index","WPU0244","All canned vegetables and juices","2025",8,"Base 1982=100",250.3
"Producer Price Index","WPU02440102","Canned vegetables","2025",8,"Base 1987=100",276.5
"Producer Price Index","WPU02440127","Canned catsup and other tomato based sauces","2025",8,"Base 1987=100",221.9
"Producer Price Index","WPU0245","All frozen vegetables","2025",8,"Base 1982=100",316.5
"Producer Price Index","WPU024502","Frozen potato products","2025",8,"Base 1990=100",344.7
"Producer Price Index","WPU024505","Frozen vegetables, other than potato products","2025",8,"Base 1990=100",194.6
