Year,State,Food-at-home sales with taxes and tips (millions of nominal U.S. dollars),Food-away-from-home sales with taxes and tips (millions of nominal U.S. dollars),Total food sales with taxes and tips (millions of nominal U.S. dollars),Food-at-home sales with taxes and tips (millions of constant U.S. dollars (1988=100)),Food-away-from-home sales with taxes and tips (millions of constant U.S. dollars (1988=100)),Total food sales with taxes and tips (millions of constant U.S. dollars (1988=100))
1997,Alabama,"5,681.60","4,077.94","9,759.54","4,225.53","3,131.37","7,356.90"
1998,Alabama,"5,859.87","4,424.47","10,284.34","4,294.51","3,310.24","7,604.75"
1999,Alabama,"6,131.70","4,696.57","10,828.27","4,423.56","3,429.95","7,853.51"
2000,Alabama,"6,361.97","4,910.33","11,272.30","4,469.63","3,506.56","7,976.19"
2001,Alabama,"6,608.66","5,171.02","11,779.68","4,513.90","3,596.21","8,110.11"
2002,Alabama,"6,756.34","5,448.44","12,204.78","4,555.50","3,704.94","8,260.44"
2003,Alabama,"7,181.28","5,862.18","13,043.46","4,739.65","3,893.27","8,632.92"
2004,Alabama,"7,613.04","6,285.21","13,898.25","4,834.01","4,049.00","8,883.01"
2005,Alabama,"8,140.30","6,698.58","14,838.88","5,065.76","4,193.89","9,259.65"
2006,Alabama,"8,312.28","7,172.33","15,484.61","5,074.36","4,356.79","9,431.15"
2007,Alabama,"8,795.98","7,584.73","16,380.71","5,153.50","4,455.12","9,608.62"
2008,Alabama,"9,172.02","7,814.43","16,986.45","5,035.26","4,388.05","9,423.31"
2009,Alabama,"8,917.90","7,783.82","16,701.72","4,858.76","4,217.75","9,076.51"
2010,Alabama,"9,191.04","7,995.49","17,186.53","4,978.26","4,277.92","9,256.18"
2011,Alabama,"9,598.14","8,361.41","17,959.55","4,945.62","4,376.37","9,321.99"
2012,Alabama,"9,706.66","8,797.62","18,504.28","4,869.96","4,481.37","9,351.33"
2013,Alabama,"9,862.91","9,292.19","19,155.10","4,890.24","4,627.08","9,517.32"
2014,Alabama,"10,370.74","9,948.25","20,318.99","5,019.70","4,839.78","9,859.48"
2015,Alabama,"10,642.46","10,820.57","21,463.03","5,098.59","5,108.28","10,206.87"
2016,Alabama,"10,774.65","11,526.18","22,300.83","5,236.31","5,334.76","10,571.07"
2017,Alabama,"11,198.88","12,165.68","23,364.56","5,454.60","5,519.61","10,974.21"
2018,Alabama,"11,565.29","12,751.46","24,316.75","5,616.27","5,665.81","11,282.08"
2019,Alabama,"11,956.13","13,373.57","25,329.70","5,766.38","5,765.00","11,531.38"
2020,Alabama,"12,731.78","12,371.31","25,103.09","5,931.74","5,191.20","11,122.94"
2021,Alabama,"13,672.06","15,137.95","28,810.01","6,158.30","6,115.64","12,273.94"
2022,Alabama,"15,435.84","16,360.50","31,796.34","6,242.43","6,132.95","12,375.38"
2023,Alabama,"15,681.77","17,227.14","32,908.91","6,020.18","6,028.95","12,049.13"
2024,Alabama,"15,860.12","17,563.85","33,423.97","6,013.85","5,916.88","11,930.73"
1997,Alaska,"1,023.21",814.29,"1,837.50",731.59,635.52,"1,367.11"
1998,Alaska,"1,074.99",847.73,"1,922.72",745.7,644.4,"1,390.10"
1999,Alaska,"1,159.02",887.33,"2,046.35",788.03,660.26,"1,448.29"
2000,Alaska,"1,207.94",958.09,"2,166.03",804.84,697.32,"1,502.16"
2001,Alaska,"1,263.23",985.93,"2,249.16",807.91,695.61,"1,503.52"
2002,Alaska,"1,288.66","1,039.62","2,328.28",809.06,710.07,"1,519.13"
2003,Alaska,"1,354.24","1,107.48","2,461.72",827.91,742.03,"1,569.94"
2004,Alaska,"1,475.85","1,160.68","2,636.53",869.82,754.47,"1,624.29"
