State,Fiscal year,Country,Commodity name,Dollar value,Fiscal quarter,Trade type,Fiscal quarter description
DE,2019,Japan,Wheat,8185860,0,Exports,Fiscal year total
DE,2019,World,Wheat,8185860,0,Exports,Fiscal year total
DE,2019,Japan,Wheat,8185860,3,Exports,Fiscal quarter 3
DE,2019,World,Wheat,8185860,3,Exports,Fiscal quarter 3
KS,2019,Iraq,Wheat,32898600,0,Exports,Fiscal year total
KS,2019,Egypt,Wheat,39084253,0,Exports,Fiscal year total
KS,2019,Brazil,Wheat,42694406,0,Exports,Fiscal year total
KS,2019,Nigeria,Wheat,66368882,0,Exports,Fiscal year total
KS,2019,Mexico,Wheat,272934053,0,Exports,Fiscal year total
KS,2019,World,Wheat,582767804,0,Exports,Fiscal year total
KS,2019,Egypt,Wheat,11128825,1,Exports,Fiscal quarter 1
KS,2019,Brazil,Wheat,13593266,1,Exports,Fiscal quarter 1
KS,2019,Nigeria,Wheat,17577073,1,Exports,Fiscal quarter 1
KS,2019,Mexico,Wheat,57938908,1,Exports,Fiscal quarter 1
KS,2019,World,Wheat,130552924,1,Exports,Fiscal quarter 1
KS,2019,Brazil,Wheat,8243430,2,Exports,Fiscal quarter 2
KS,2019,Egypt,Wheat,13912126,2,Exports,Fiscal quarter 2
KS,2019,Nigeria,Wheat,22519183,2,Exports,Fiscal quarter 2
KS,2019,Mexico,Wheat,59695467,2,Exports,Fiscal quarter 2
KS,2019,World,Wheat,139470548,2,Exports,Fiscal quarter 2
KS,2019,Egypt,Wheat,14043302,3,Exports,Fiscal quarter 3
KS,2019,Nigeria,Wheat,14342486,3,Exports,Fiscal quarter 3
KS,2019,Iraq,Wheat,32898600,3,Exports,Fiscal quarter 3
KS,2019,Mexico,Wheat,81926942,3,Exports,Fiscal quarter 3
KS,2019,World,Wheat,176934376,3,Exports,Fiscal quarter 3
KS,2019,Nigeria,Wheat,11930140,4,Exports,Fiscal quarter 4
KS,2019,Brazil,Wheat,20857710,4,Exports,Fiscal quarter 4
KS,2019,Mexico,Wheat,73372736,4,Exports,Fiscal quarter 4
KS,2019,World,Wheat,135809956,4,Exports,Fiscal quarter 4
LA,2019,Colombia,Wheat,65461329,0,Exports,Fiscal year total
LA,2019,Honduras,Wheat,74112035,0,Exports,Fiscal year total
LA,2019,Egypt,Wheat,94207951,0,Exports,Fiscal year total
LA,2019,Nigeria,Wheat,96070278,0,Exports,Fiscal year total
LA,2019,Mexico,Wheat,114839205,0,Exports,Fiscal year total
LA,2019,World,Wheat,842481316,0,Exports,Fiscal year total
LA,2019,Nigeria,Wheat,12407893,1,Exports,Fiscal quarter 1
LA,2019,Egypt,Wheat,13360853,1,Exports,Fiscal quarter 1
LA,2019,Colombia,Wheat,13759213,1,Exports,Fiscal quarter 1
LA,2019,Honduras,Wheat,20075758,1,Exports,Fiscal quarter 1
LA,2019,Mexico,Wheat,33524824,1,Exports,Fiscal quarter 1
LA,2019,World,Wheat,153386099,1,Exports,Fiscal quarter 1
LA,2019,Honduras,Wheat,12359153,2,Exports,Fiscal quarter 2
LA,2019,Colombia,Wheat,15892408,2,Exports,Fiscal quarter 2
LA,2019,Egypt,Wheat,26310602,2,Exports,Fiscal quarter 2
LA,2019,Mexico,Wheat,28134661,2,Exports,Fiscal quarter 2
LA,2019,Nigeria,Wheat,36944047,2,Exports,Fiscal quarter 2
LA,2019,World,Wheat,229300595,2,Exports,Fiscal quarter 2
LA,2019,Mexico,Wheat,14323204,3,Exports,Fiscal quarter 3
LA,2019,Colombia,Wheat,16510923,3,Exports,Fiscal quarter 3
LA,2019,Honduras,Wheat,16597268,3,Exports,Fiscal quarter 3
